beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9
-0.0068358127,0.0017245533,-0.0055871354,-0.012406409,-0.001323424,-0.0023157536,-0.00048754865,0.0021899678,-0.0006977712,0.001096264
-0.009562628,-0.00020075869,-0.0062310854,-0.008214463,-0.0012445253,-0.0019488545,-0.0005841864,0.0022628773,-0.00054025475,0.0010924742
0.015757782,0.007840834,-0.0013787458,-0.011978695,-0.002025285,-0.0012239324,0.00021801621,0.0018690778,-0.00043047813,0.000918207
0.030882334,0.013850848,0.0016629817,-0.015860708,-0.0023441717,-0.0014108007,0.00037237455,0.0016868503,-0.00029386347,0.0006289729
0.020887477,0.0068396283,-0.00663229,-0.00052697584,-0.0018904636,-0.0006796875,-0.00039128878,0.0027179366,4.2124768e-05,0.00084203016
0.021422116,0.004682292,-0.007238007,0.0052466374,-0.0014871544,-0.00010843866,-0.00052529515,0.0026730616,0.000350349,0.0006026116
0.020443654,0.0072331103,-0.0057793716,-0.002166463,-0.0014660079,-0.00048190227,-0.0004011487,0.0024050386,0.00035588478,0.0003125763
-0.0071042944,0.0041759005,-0.008120096,-0.012984656,-0.0019998522,-0.002579137,-0.0008694618,0.0026215767,-0.00014931406,0.00042957545
-0.00042498298,0.015429518,-0.009808413,-0.025649803,-0.0031702279,-0.0047217617,-0.0006533819,0.003824555,-0.00108503,0.0012548512
-0.00032606162,0.022983633,-0.0070392964,-0.036846302,-0.0032787956,-0.0055903494,-0.00037594116,0.0037629867,-0.0011890217,0.0013171469
-0.021302825,0.0067190127,-0.005484418,-0.0052646166,-0.0010278646,-0.0018228447,-0.00077884935,0.0020903884,0.0003817099,0.00044103013
-0.03143087,0.008754688,-0.006873428,-0.012211809,-0.00049535127,-0.0027968585,-0.0005555161,0.0022972755,-0.0003514242,0.0011040827
-0.03918633,0.011452082,-0.008309097,-0.024344519,-0.0010621869,-0.0042546475,-0.0005717828,0.0027706136,-0.00087608036,0.0017857321
-0.027075073,0.012300638,-0.010479118,-0.022105556,-0.0026351716,-0.0043767816,-0.00035004457,0.0036496415,-0.0012940407,0.0020905426
-0.046027903,0.0008736048,-0.0061822254,-0.008995242,-0.000910803,-0.0028561067,-0.00065380754,0.00204808,-0.00051926053,0.0005445067
-0.03691618,0.016084148,-0.0075950967,-0.03519901,-0.0026615793,-0.005502618,-0.0005354394,0.0034647724,-0.0012445133,0.0018411332
-0.006932566,0.0015067542,0.0013032854,0.00812679,-2.296627e-06,-7.571094e-05,-0.00058286765,0.00067131064,0.0006273717,0.0002735915
-0.00061458535,0.0047682757,-0.0020019962,0.009608684,-0.0015172525,-0.00052857085,-0.0005624031,0.0018885694,0.00039964623,0.0007392939
-0.009526866,0.008746254,-0.007889443,0.0015460867,-0.0025440068,-0.0023915344,-0.0010302226,0.0032305352,-7.215736e-05,0.0015206796
0.00023314916,0.021513399,-0.013934777,-0.022536615,-0.0047508636,-0.0059111966,-0.0011159017,0.005432238,-0.0016400955,0.0027973766
